plot,variety,irrigation,x,y,t,i,n
1A,Burwood-Prize,overhead-sprays,13,12,6,1,1
1A,Burwood-Prize,overhead-sprays,13,13,1,0,1
1A,Burwood-Prize,overhead-sprays,13,13,2,1,1
1A,Burwood-Prize,overhead-sprays,13,13,3,1,1
1A,Burwood-Prize,overhead-sprays,13,13,4,1,1
1A,Burwood-Prize,overhead-sprays,13,13,5,1,1
1A,Burwood-Prize,overhead-sprays,13,13,6,1,1
1A,Burwood-Prize,overhead-sprays,13,14,1,0,1
1A,Burwood-Prize,overhead-sprays,13,14,2,0,1
1A,Burwood-Prize,overhead-sprays,13,14,3,1,1
1A,Burwood-Prize,overhead-sprays,13,14,4,1,1
1A,Burwood-Prize,overhead-sprays,13,14,5,1,1
1A,Burwood-Prize,overhead-sprays,13,14,6,1,1
1A,Burwood-Prize,overhead-sprays,13,15,1,0,1
1A,Burwood-Prize,overhead-sprays,13,15,2,0,1
1A,Burwood-Prize,overhead-sprays,13,15,3,0,1
1A,Burwood-Prize,overhead-sprays,13,15,4,0,1
1A,Burwood-Prize,overhead-sprays,13,15,5,0,1
1A,Burwood-Prize,overhead-sprays,13,15,6,0,1
1A,Burwood-Prize,overhead-sprays,13,16,1,0,1
1A,Burwood-Prize,overhead-sprays,13,16,2,0,1
1A,Burwood-Prize,overhead-sprays,13,16,3,0,1
1A,Burwood-Prize,overhead-sprays,13,16,4,0,1
1A,Burwood-Prize,overhead-sprays,13,16,5,1,1
1A,Burwood-Prize,overhead-sprays,13,16,6,1,1
1A,Burwood-Prize,overhead-sprays,13,17,1,0,1
1A,Burwood-Prize,overhead-sprays,13,17,2,0,1
1A,Burwood-Prize,overhead-sprays,13,17,3,0,1
1A,Burwood-Prize,overhead-sprays,13,17,4,1,1
1A,Burwood-Prize,overhead-sprays,13,17,5,1,1
1A,Burwood-Prize,overhead-sprays,13,17,6,1,1
1A,Burwood-Prize,overhead-sprays,13,18,1,0,1
1A,Burwood-Prize,overhead-sprays,13,18,2,1,1
1A,Burwood-Prize,overhead-sprays,13,18,3,1,1
1A,Burwood-Prize,overhead-sprays,13,18,4,1,1
1A,Burwood-Prize,overhead-sprays,13,18,5,1,1
1A,Burwood-Prize,overhead-sprays,13,18,6,1,1
1A,Burwood-Prize,overhead-sprays,13,19,1,0,1
1A,Burwood-Prize,overhead-sprays,13,19,2,0,1
1A,Burwood-Prize,overhead-sprays,13,19,3,0,1
1A,Burwood-Prize,overhead-sprays,13,19,4,0,1
1A,Burwood-Prize,overhead-sprays,13,19,5,0,1
1A,Burwood-Prize,overhead-sprays,13,19,6,0,1
1A,Burwood-Prize,overhead-sprays,13,20,1,0,1
1A,Burwood-Prize,overhead-sprays,13,20,2,0,1
1A,Burwood-Prize,overhead-sprays,13,20,3,0,1
1A,Burwood-Prize,overhead-sprays,13,20,4,1,1
1A,Burwood-Prize,overhead-sprays,13,20,5,1,1
1A,Burwood-Prize,overhead-sprays,13,20,6,1,1
1A,Burwood-Prize,overhead-sprays,13,21,1,0,1
1A,Burwood-Prize,overhead-sprays,13,21,2,0,1
1A,Burwood-Prize,overhead-sprays,13,21,3,0,1
1A,Burwood-Prize,overhead-sprays,13,21,4,0,1
1A,Burwood-Prize,overhead-sprays,13,21,5,1,1
1A,Burwood-Prize,overhead-sprays,13,21,6,1,1
1A,Burwood-Prize,overhead-sprays,13,22,1,0,1
1A,Burwood-Prize,overhead-sprays,13,22,2,1,1
1A,Burwood-Prize,overhead-sprays,13,22,3,1,1
1A,Burwood-Prize,overhead-sprays,13,22,4,1,1
1A,Burwood-Prize,overhead-sprays,13,22,5,1,1
1A,Burwood-Prize,overhead-sprays,13,22,6,1,1
1A,Burwood-Prize,overhead-sprays,13,23,1,0,1
1A,Burwood-Prize,overhead-sprays,13,23,2,1,1
1A,Burwood-Prize,overhead-sprays,13,23,3,1,1
1A,Burwood-Prize,overhead-sprays,13,23,4,1,1
1A,Burwood-Prize,overhead-sprays,13,23,5,1,1
1A,Burwood-Prize,overhead-sprays,13,23,6,1,1
1A,Burwood-Prize,overhead-sprays,13,24,1,0,1
1A,Burwood-Prize,overhead-sprays,13,24,2,0,1
1A,Burwood-Prize,overhead-sprays,13,24,3,1,1
1A,Burwood-Prize,overhead-sprays,13,24,4,1,1
1A,Burwood-Prize,overhead-sprays,13,24,5,1,1
1A,Burwood-Prize,overhead-sprays,13,24,6,1,1
1A,Burwood-Prize,overhead-sprays,13,25,1,0,1
1A,Burwood-Prize,overhead-sprays,13,25,2,0,1
1A,Burwood-Prize,overhead-sprays,13,25,3,0,1
1A,Burwood-Prize,overhead-sprays,13,25,4,1,1
1A,Burwood-Prize,overhead-sprays,13,25,5,1,1
1A,Burwood-Prize,overhead-sprays,13,25,6,1,1
1A,Burwood-Prize,overhead-sprays,13,26,1,0,1
1A,Burwood-Prize,overhead-sprays,13,26,2,1,1
1A,Burwood-Prize,overhead-sprays,13,26,3,1,1
1A,Burwood-Prize,overhead-sprays,13,26,4,1,1
1A,Burwood-Prize,overhead-sprays,13,26,5,1,1
1A,Burwood-Prize,overhead-sprays,13,26,6,1,1
1A,Burwood-Prize,overhead-sprays,13,27,1,0,1
1A,Burwood-Prize,overhead-sprays,13,27,2,0,1
1A,Burwood-Prize,overhead-sprays,13,27,3,0,1
1A,Burwood-Prize,overhead-sprays,13,27,4,0,1
1A,Burwood-Prize,overhead-sprays,13,27,5,1,1
1A,Burwood-Prize,overhead-sprays,13,27,6,1,1
1A,Burwood-Prize,overhead-sprays,13,28,1,0,1
1A,Burwood-Prize,overhead-sprays,13,28,2,0,1
1A,Burwood-Prize,overhead-sprays,13,28,3,0,1
1A,Burwood-Prize,overhead-sprays,13,28,4,0,1
1A,Burwood-Prize,overhead-sprays,13,28,5,0,1
1A,Burwood-Prize,overhead-sprays,13,28,6,0,1
1A,Burwood-Prize,overhead-sprays,13,29,1,0,1
1A,Burwood-Prize,overhead-sprays,13,29,2,0,1
1A,Burwood-Prize,overhead-sprays,13,29,3,0,1
1A,Burwood-Prize,overhead-sprays,13,29,4,1,1
1A,Burwood-Prize,overhead-sprays,13,29,5,1,1
1A,Burwood-Prize,overhead-sprays,13,29,6,1,1
1A,Burwood-Prize,overhead-sprays,13,30,1,0,1
1A,Burwood-Prize,overhead-sprays,13,30,2,0,1
1A,Burwood-Prize,overhead-sprays,13,30,3,1,1
1A,Burwood-Prize,overhead-sprays,13,30,4,1,1
1A,Burwood-Prize,overhead-sprays,13,30,5,1,1
1A,Burwood-Prize,overhead-sprays,13,30,6,1,1
1A,Burwood-Prize,overhead-sprays,13,31,1,0,1
1A,Burwood-Prize,overhead-sprays,13,31,2,0,1
1A,Burwood-Prize,overhead-sprays,13,31,3,0,1
1A,Burwood-Prize,overhead-sprays,13,31,4,0,1
1A,Burwood-Prize,overhead-sprays,13,31,5,0,1
1A,Burwood-Prize,overhead-sprays,13,31,6,1,1
1A,Burwood-Prize,overhead-sprays,13,32,1,0,1
1A,Burwood-Prize,overhead-sprays,13,32,2,0,1
1A,Burwood-Prize,overhead-sprays,13,32,3,0,1
1A,Burwood-Prize,overhead-sprays,13,32,4,1,1
1A,Burwood-Prize,overhead-sprays,13,32,5,1,1
1A,Burwood-Prize,overhead-sprays,13,32,6,1,1
1A,Burwood-Prize,overhead-sprays,13,33,1,0,1
1A,Burwood-Prize,overhead-sprays,13,33,2,0,1
1A,Burwood-Prize,overhead-sprays,13,33,3,1,1
1A,Burwood-Prize,overhead-sprays,13,33,4,1,1
1A,Burwood-Prize,overhead-sprays,13,33,5,1,1
1A,Burwood-Prize,overhead-sprays,13,33,6,1,1
1A,Burwood-Prize,overhead-sprays,14,1,1,0,1
1A,Burwood-Prize,overhead-sprays,14,1,2,0,1
1A,Burwood-Prize,overhead-sprays,14,1,3,0,1
1A,Burwood-Prize,overhead-sprays,14,1,4,0,1
1A,Burwood-Prize,overhead-sprays,14,1,5,0,1
1A,Burwood-Prize,overhead-sprays,14,1,6,0,1
1A,Burwood-Prize,overhead-sprays,14,2,1,0,1
1A,Burwood-Prize,overhead-sprays,14,2,2,0,1
1A,Burwood-Prize,overhead-sprays,14,2,3,0,1
1A,Burwood-Prize,overhead-sprays,14,2,4,1,1
1A,Burwood-Prize,overhead-sprays,14,2,5,1,1
1A,Burwood-Prize,overhead-sprays,14,2,6,1,1
1A,Burwood-Prize,overhead-sprays,14,3,1,0,1
1A,Burwood-Prize,overhead-sprays,14,3,2,1,1
1A,Burwood-Prize,overhead-sprays,14,3,3,1,1
1A,Burwood-Prize,overhead-sprays,14,3,4,1,1
1A,Burwood-Prize,overhead-sprays,14,3,5,1,1
1A,Burwood-Prize,overhead-sprays,14,3,6,1,1
1A,Burwood-Prize,overhead-sprays,14,4,1,0,1
1A,Burwood-Prize,overhead-sprays,14,4,2,0,1
1A,Burwood-Prize,overhead-sprays,14,4,3,0,1
1A,Burwood-Prize,overhead-sprays,14,4,4,1,1
1A,Burwood-Prize,overhead-sprays,14,4,5,1,1
1A,Burwood-Prize,overhead-sprays,14,4,6,1,1
1A,Burwood-Prize,overhead-sprays,14,5,1,0,1
1A,Burwood-Prize,overhead-sprays,14,5,2,1,1
1A,Burwood-Prize,overhead-sprays,14,5,3,1,1
1A,Burwood-Prize,overhead-sprays,14,5,4,1,1
1A,Burwood-Prize,overhead-sprays,14,5,5,1,1
1A,Burwood-Prize,overhead-sprays,14,5,6,1,1
1A,Burwood-Prize,overhead-sprays,14,6,1,0,1
1A,Burwood-Prize,overhead-sprays,14,6,2,1,1
1A,Burwood-Prize,overhead-sprays,14,6,3,1,1
1A,Burwood-Prize,overhead-sprays,14,6,4,1,1
1A,Burwood-Prize,overhead-sprays,14,6,5,1,1
1A,Burwood-Prize,overhead-sprays,14,6,6,1,1
1A,Burwood-Prize,overhead-sprays,14,7,1,0,1
1A,Burwood-Prize,overhead-sprays,14,7,2,1,1
1A,Burwood-Prize,overhead-sprays,14,7,3,1,1
1A,Burwood-Prize,overhead-sprays,14,7,4,1,1
1A,Burwood-Prize,overhead-sprays,14,7,5,1,1
1A,Burwood-Prize,overhead-sprays,14,7,6,1,1
1A,Burwood-Prize,overhead-sprays,14,8,1,0,1
1A,Burwood-Prize,overhead-sprays,14,8,2,0,1
1A,Burwood-Prize,overhead-sprays,14,8,3,0,1
1A,Burwood-Prize,overhead-sprays,14,8,4,0,1
1A,Burwood-Prize,overhead-sprays,14,8,5,0,1
1A,Burwood-Prize,overhead-sprays,14,8,6,0,1
1A,Burwood-Prize,overhead-sprays,14,9,1,0,1
1A,Burwood-Prize,overhead-sprays,14,9,2,1,1
1A,Burwood-Prize,overhead-sprays,14,9,3,1,1
1A,Burwood-Prize,overhead-sprays,14,9,4,1,1
1A,Burwood-Prize,overhead-sprays,14,9,5,1,1
1A,Burwood-Prize,overhead-sprays,14,9,6,1,1
1A,Burwood-Prize,overhead-sprays,14,10,1,0,1
1A,Burwood-Prize,overhead-sprays,14,10,2,1,1
1A,Burwood-Prize,overhead-sprays,14,10,3,1,1
1A,Burwood-Prize,overhead-sprays,14,10,4,1,1
1A,Burwood-Prize,overhead-sprays,14,10,5,1,1
1A,Burwood-Prize,overhead-sprays,14,10,6,1,1
1A,Burwood-Prize,overhead-sprays,14,11,1,0,1
1A,Burwood-Prize,overhead-sprays,14,11,2,0,1
1A,Burwood-Prize,overhead-sprays,14,11,3,0,1
1A,Burwood-Prize,overhead-sprays,14,11,4,0,1
1A,Burwood-Prize,overhead-sprays,14,11,5,0,1
1A,Burwood-Prize,overhead-sprays,14,11,6,0,1
1A,Burwood-Prize,overhead-sprays,14,12,1,0,1
1A,Burwood-Prize,overhead-sprays,14,12,2,0,1
1A,Burwood-Prize,overhead-sprays,14,12,3,1,1
1A,Burwood-Prize,overhead-sprays,14,12,4,1,1
1A,Burwood-Prize,overhead-sprays,14,12,5,1,1
1A,Burwood-Prize,overhead-sprays,14,12,6,1,1
1A,Burwood-Prize,overhead-sprays,14,13,1,0,1
1A,Burwood-Prize,overhead-sprays,14,13,2,0,1
1A,Burwood-Prize,overhead-sprays,14,13,3,0,1
1A,Burwood-Prize,overhead-sprays,14,13,4,0,1
1A,Burwood-Prize,overhead-sprays,14,13,5,0,1
1A,Burwood-Prize,overhead-sprays,14,13,6,0,1
1A,Burwood-Prize,overhead-sprays,14,14,1,0,1
1A,Burwood-Prize,overhead-sprays,14,14,2,0,1
1A,Burwood-Prize,overhead-sprays,14,14,3,0,1
1A,Burwood-Prize,overhead-sprays,14,14,4,0,1
1A,Burwood-Prize,overhead-sprays,14,14,5,0,1
1A,Burwood-Prize,overhead-sprays,14,14,6,1,1
1A,Burwood-Prize,overhead-sprays,14,15,1,0,1
1A,Burwood-Prize,overhead-sprays,14,15,2,0,1
1A,Burwood-Prize,overhead-sprays,14,15,3,0,1
1A,Burwood-Prize,overhead-sprays,14,15,4,1,1
1A,Burwood-Prize,overhead-sprays,14,15,5,1,1
1A,Burwood-Prize,overhead-sprays,14,15,6,1,1
1A,Burwood-Prize,overhead-sprays,14,16,1,0,1
1A,Burwood-Prize,overhead-sprays,14,16,2,0,1
1A,Burwood-Prize,overhead-sprays,14,16,3,1,1
1A,Burwood-Prize,overhead-sprays,14,16,4,1,1
1A,Burwood-Prize,overhead-sprays,14,16,5,1,1
1A,Burwood-Prize,overhead-sprays,14,16,6,1,1
1A,Burwood-Prize,overhead-sprays,14,17,1,0,1
1A,Burwood-Prize,overhead-sprays,14,17,2,0,1
1A,Burwood-Prize,overhead-sprays,14,17,3,0,1
1A,Burwood-Prize,overhead-sprays,14,17,4,0,1
1A,Burwood-Prize,overhead-sprays,14,17,5,1,1
1A,Burwood-Prize,overhead-sprays,14,17,6,1,1
1A,Burwood-Prize,overhead-sprays,14,18,1,0,1
1A,Burwood-Prize,overhead-sprays,14,18,2,0,1
1A,Burwood-Prize,overhead-sprays,14,18,3,0,1
1A,Burwood-Prize,overhead-sprays,14,18,4,1,1
1A,Burwood-Prize,overhead-sprays,14,18,5,1,1
1A,Burwood-Prize,overhead-sprays,14,18,6,1,1
1A,Burwood-Prize,overhead-sprays,14,19,1,0,1
1A,Burwood-Prize,overhead-sprays,14,19,2,0,1
1A,Burwood-Prize,overhead-sprays,14,19,3,1,1
1A,Burwood-Prize,overhead-sprays,14,19,4,1,1
1A,Burwood-Prize,overhead-sprays,14,19,5,1,1
1A,Burwood-Prize,overhead-sprays,14,19,6,1,1
1A,Burwood-Prize,overhead-sprays,14,20,1,0,1
1A,Burwood-Prize,overhead-sprays,14,20,2,1,1
1A,Burwood-Prize,overhead-sprays,14,20,3,1,1
1A,Burwood-Prize,overhead-sprays,14,20,4,1,1
1A,Burwood-Prize,overhead-sprays,14,20,5,1,1
1A,Burwood-Prize,overhead-sprays,14,20,6,1,1
1A,Burwood-Prize,overhead-sprays,14,21,1,0,1
1A,Burwood-Prize,overhead-sprays,14,21,2,1,1
1A,Burwood-Prize,overhead-sprays,14,21,3,1,1
1A,Burwood-Prize,overhead-sprays,14,21,4,1,1
1A,Burwood-Prize,overhead-sprays,14,21,5,1,1
1A,Burwood-Prize,overhead-sprays,14,21,6,1,1
1A,Burwood-Prize,overhead-sprays,14,22,1,0,1
1A,Burwood-Prize,overhead-sprays,14,22,2,0,1
1A,Burwood-Prize,overhead-sprays,14,22,3,0,1
1A,Burwood-Prize,overhead-sprays,14,22,4,0,1
1A,Burwood-Prize,overhead-sprays,14,22,5,0,1
1A,Burwood-Prize,overhead-sprays,14,22,6,0,1
1A,Burwood-Prize,overhead-sprays,14,23,1,0,1
1A,Burwood-Prize,overhead-sprays,14,23,2,0,1
1A,Burwood-Prize,overhead-sprays,14,23,3,0,1
1A,Burwood-Prize,overhead-sprays,14,23,4,0,1
1A,Burwood-Prize,overhead-sprays,14,23,5,0,1
1A,Burwood-Prize,overhead-sprays,14,23,6,1,1
1A,Burwood-Prize,overhead-sprays,14,24,1,0,1
1A,Burwood-Prize,overhead-sprays,14,24,2,1,1
1A,Burwood-Prize,overhead-sprays,14,24,3,1,1
1A,Burwood-Prize,overhead-sprays,14,24,4,1,1
1A,Burwood-Prize,overhead-sprays,14,24,5,1,1
1A,Burwood-Prize,overhead-sprays,14,24,6,1,1
1A,Burwood-Prize,overhead-sprays,14,25,1,0,1
1A,Burwood-Prize,overhead-sprays,14,25,2,0,1
1A,Burwood-Prize,overhead-sprays,14,25,3,0,1
1A,Burwood-Prize,overhead-sprays,14,25,4,1,1
1A,Burwood-Prize,overhead-sprays,14,25,5,1,1
1A,Burwood-Prize,overhead-sprays,14,25,6,1,1
1A,Burwood-Prize,overhead-sprays,14,26,1,0,1
1A,Burwood-Prize,overhead-sprays,14,26,2,0,1
1A,Burwood-Prize,overhead-sprays,14,26,3,0,1
1A,Burwood-Prize,overhead-sprays,14,26,4,0,1
1A,Burwood-Prize,overhead-sprays,14,26,5,0,1
1A,Burwood-Prize,overhead-sprays,14,26,6,1,1
1A,Burwood-Prize,overhead-sprays,14,27,1,0,1
1A,Burwood-Prize,overhead-sprays,14,27,2,0,1
1A,Burwood-Prize,overhead-sprays,14,27,3,1,1
1A,Burwood-Prize,overhead-sprays,14,27,4,1,1
1A,Burwood-Prize,overhead-sprays,14,27,5,1,1
1A,Burwood-Prize,overhead-sprays,14,27,6,1,1
1A,Burwood-Prize,overhead-sprays,14,28,1,0,1
1A,Burwood-Prize,overhead-sprays,14,28,2,0,1
1A,Burwood-Prize,overhead-sprays,14,28,3,0,1
1A,Burwood-Prize,overhead-sprays,14,28,4,0,1
1A,Burwood-Prize,overhead-sprays,14,28,5,0,1
1A,Burwood-Prize,overhead-sprays,14,28,6,1,1
1A,Burwood-Prize,overhead-sprays,14,29,1,0,1
1A,Burwood-Prize,overhead-sprays,14,29,2,1,1
1A,Burwood-Prize,overhead-sprays,14,29,3,1,1
1A,Burwood-Prize,overhead-sprays,14,29,4,1,1
1A,Burwood-Prize,overhead-sprays,14,29,5,1,1
1A,Burwood-Prize,overhead-sprays,14,29,6,1,1
1A,Burwood-Prize,overhead-sprays,14,30,1,0,1
1A,Burwood-Prize,overhead-sprays,14,30,2,0,1
1A,Burwood-Prize,overhead-sprays,14,30,3,1,1
1A,Burwood-Prize,overhead-sprays,14,30,4,1,1
1A,Burwood-Prize,overhead-sprays,14,30,5,1,1
1A,Burwood-Prize,overhead-sprays,14,30,6,1,1
1A,Burwood-Prize,overhead-sprays,14,31,1,0,1
1A,Burwood-Prize,overhead-sprays,14,31,2,0,1
1A,Burwood-Prize,overhead-sprays,14,31,3,0,1
1A,Burwood-Prize,overhead-sprays,14,31,4,1,1
1A,Burwood-Prize,overhead-sprays,14,31,5,1,1
1A,Burwood-Prize,overhead-sprays,14,31,6,1,1
1A,Burwood-Prize,overhead-sprays,14,32,1,0,1
1A,Burwood-Prize,overhead-sprays,14,32,2,0,1
1A,Burwood-Prize,overhead-sprays,14,32,3,0,1
1A,Burwood-Prize,overhead-sprays,14,32,4,0,1
1A,Burwood-Prize,overhead-sprays,14,32,5,1,1
1A,Burwood-Prize,overhead-sprays,14,32,6,1,1
1A,Burwood-Prize,overhead-sprays,14,33,1,0,1
1A,Burwood-Prize,overhead-sprays,14,33,2,0,1
1A,Burwood-Prize,overhead-sprays,14,33,3,1,1
1A,Burwood-Prize,overhead-sprays,14,33,4,1,1
1A,Burwood-Prize,overhead-sprays,14,33,5,1,1
1A,Burwood-Prize,overhead-sprays,14,33,6,1,1
1B,Burwood-Prize,trenches,1,1,1,0,1
1B,Burwood-Prize,trenches,1,1,2,0,1
1B,Burwood-Prize,trenches,1,1,3,0,1
1B,Burwood-Prize,trenches,1,1,4,0,1
1B,Burwood-Prize,trenches,1,1,5,1,1
1B,Burwood-Prize,trenches,1,1,6,1,1
1B,Burwood-Prize,trenches,1,2,1,0,1
1B,Burwood-Prize,trenches,1,2,2,0,1
1B,Burwood-Prize,trenches,1,2,3,0,1
1B,Burwood-Prize,trenches,1,2,4,0,1
1B,Burwood-Prize,trenches,1,2,5,0,1
1B,Burwood-Prize,trenches,1,2,6,0,1
1B,Burwood-Prize,trenches,1,3,1,0,1
1B,Burwood-Prize,trenches,1,3,2,0,1
1B,Burwood-Prize,trenches,1,3,3,0,1
1B,Burwood-Prize,trenches,1,3,4,0,1
1B,Burwood-Prize,trenches,1,3,5,0,1
1B,Burwood-Prize,trenches,1,3,6,1,1
1B,Burwood-Prize,trenches,1,4,1,0,1
1B,Burwood-Prize,trenches,1,4,2,0,1
1B,Burwood-Prize,trenches,1,4,3,0,1
1B,Burwood-Prize,trenches,1,4,4,0,1
1B,Burwood-Prize,trenches,1,4,5,1,1
1B,Burwood-Prize,trenches,1,4,6,1,1
1B,Burwood-Prize,trenches,1,5,1,0,1
1B,Burwood-Prize,trenches,1,5,2,0,1
1B,Burwood-Prize,trenches,1,5,3,1,1
1B,Burwood-Prize,trenches,1,5,4,1,1
1B,Burwood-Prize,trenches,1,5,5,1,1
1B,Burwood-Prize,trenches,1,5,6,1,1
1B,Burwood-Prize,trenches,1,6,1,0,1
1B,Burwood-Prize,trenches,1,6,2,1,1
1B,Burwood-Prize,trenches,1,6,3,1,1
1B,Burwood-Prize,trenches,1,6,4,1,1
1B,Burwood-Prize,trenches,1,6,5,1,1
1B,Burwood-Prize,trenches,1,6,6,1,1
1B,Burwood-Prize,trenches,1,7,1,0,1
1B,Burwood-Prize,trenches,1,7,2,0,1
1B,Burwood-Prize,trenches,1,7,3,1,1
1B,Burwood-Prize,trenches,1,7,4,1,1
1B,Burwood-Prize,trenches,1,7,5,1,1
1B,Burwood-Prize,trenches,1,7,6,1,1
1B,Burwood-Prize,trenches,1,8,1,0,1
1B,Burwood-Prize,trenches,1,8,2,0,1
1B,Burwood-Prize,trenches,1,8,3,0,1
1B,Burwood-Prize,trenches,1,8,4,1,1
1B,Burwood-Prize,trenches,1,8,5,1,1
1B,Burwood-Prize,trenches,1,8,6,1,1
1B,Burwood-Prize,trenches,1,9,1,0,1
1B,Burwood-Prize,trenches,1,9,2,0,1
1B,Burwood-Prize,trenches,1,9,3,0,1
1B,Burwood-Prize,trenches,1,9,4,1,1
1B,Burwood-Prize,trenches,1,9,5,1,1
1B,Burwood-Prize,trenches,1,9,6,1,1
1B,Burwood-Prize,trenches,1,10,1,0,1
1B,Burwood-Prize,trenches,1,10,2,0,1
1B,Burwood-Prize,trenches,1,10,3,0,1
1B,Burwood-Prize,trenches,1,10,4,1,1
1B,Burwood-Prize,trenches,1,10,5,1,1
1B,Burwood-Prize,trenches,1,10,6,1,1
1B,Burwood-Prize,trenches,1,11,1,0,1
1B,Burwood-Prize,trenches,1,11,2,1,1
1B,Burwood-Prize,trenches,1,11,3,1,1
1B,Burwood-Prize,trenches,1,11,4,1,1
1B,Burwood-Prize,trenches,1,11,5,1,1
1B,Burwood-Prize,trenches,1,11,6,1,1
1B,Burwood-Prize,trenches,1,12,1,0,1
1B,Burwood-Prize,trenches,1,12,2,0,1
1B,Burwood-Prize,trenches,1,12,3,0,1
1B,Burwood-Prize,trenches,1,12,4,1,1
1B,Burwood-Prize,trenches,1,12,5,1,1
1B,Burwood-Prize,trenches,1,12,6,1,1
1B,Burwood-Prize,trenches,1,13,1,0,1
1B,Burwood-Prize,trenches,1,13,2,0,1
1B,Burwood-Prize,trenches,1,13,3,0,1
1B,Burwood-Prize,trenches,1,13,4,1,1
1B,Burwood-Prize,trenches,1,13,5,1,1
1B,Burwood-Prize,trenches,1,13,6,1,1
1B,Burwood-Prize,trenches,1,14,1,0,1
1B,Burwood-Prize,trenches,1,14,2,0,1
1B,Burwood-Prize,trenches,1,14,3,0,1
1B,Burwood-Prize,trenches,1,14,4,1,1
1B,Burwood-Prize,trenches,1,14,5,1,1
1B,Burwood-Prize,trenches,1,14,6,1,1
1B,Burwood-Prize,trenches,1,15,1,1,1
1B,Burwood-Prize,trenches,1,15,2,1,1
1B,Burwood-Prize,trenches,1,15,3,1,1
1B,Burwood-Prize,trenches,1,15,4,1,1
1B,Burwood-Prize,trenches,1,15,5,1,1
1B,Burwood-Prize,trenches,1,15,6,1,1
1B,Burwood-Prize,trenches,1,16,1,0,1
1B,Burwood-Prize,trenches,1,16,2,0,1
1B,Burwood-Prize,trenches,1,16,3,0,1
1B,Burwood-Prize,trenches,1,16,4,0,1
1B,Burwood-Prize,trenches,1,16,5,1,1
1B,Burwood-Prize,trenches,1,16,6,1,1
1B,Burwood-Prize,trenches,1,17,1,1,1
1B,Burwood-Prize,trenches,1,17,2,1,1
1B,Burwood-Prize,trenches,1,17,3,1,1
1B,Burwood-Prize,trenches,1,17,4,1,1
1B,Burwood-Prize,trenches,1,17,5,1,1
1B,Burwood-Prize,trenches,1,17,6,1,1
1B,Burwood-Prize,trenches,1,18,1,0,1
1B,Burwood-Prize,trenches,1,18,2,0,1
1B,Burwood-Prize,trenches,1,18,3,0,1
1B,Burwood-Prize,trenches,1,18,4,1,1
1B,Burwood-Prize,trenches,1,18,5,1,1
1B,Burwood-Prize,trenches,1,18,6,1,1
1B,Burwood-Prize,trenches,1,19,1,0,1
1B,Burwood-Prize,trenches,1,19,2,1,1
1B,Burwood-Prize,trenches,1,19,3,1,1
1B,Burwood-Prize,trenches,1,19,4,1,1
1B,Burwood-Prize,trenches,1,19,5,1,1
1B,Burwood-Prize,trenches,1,19,6,1,1
1B,Burwood-Prize,trenches,1,20,1,0,1
1B,Burwood-Prize,trenches,1,20,2,0,1
1B,Burwood-Prize,trenches,1,20,3,0,1
1B,Burwood-Prize,trenches,1,20,4,0,1
1B,Burwood-Prize,trenches,1,20,5,0,1
1B,Burwood-Prize,trenches,1,20,6,0,1
1B,Burwood-Prize,trenches,1,21,1,0,1
1B,Burwood-Prize,trenches,1,21,2,0,1
1B,Burwood-Prize,trenches,1,21,3,0,1
1B,Burwood-Prize,trenches,1,21,4,0,1
1B,Burwood-Prize,trenches,1,21,5,0,1
1B,Burwood-Prize,trenches,1,21,6,1,1
1B,Burwood-Prize,trenches,1,22,1,0,1
1B,Burwood-Prize,trenches,1,22,2,0,1
1B,Burwood-Prize,trenches,1,22,3,0,1
1B,Burwood-Prize,trenches,1,22,4,1,1
1B,Burwood-Prize,trenches,1,22,5,1,1
1B,Burwood-Prize,trenches,1,22,6,1,1
1B,Burwood-Prize,trenches,1,23,1,0,1
1B,Burwood-Prize,trenches,1,23,2,0,1
1B,Burwood-Prize,trenches,1,23,3,0,1
1B,Burwood-Prize,trenches,1,23,4,1,1
1B,Burwood-Prize,trenches,1,23,5,1,1
1B,Burwood-Prize,trenches,1,23,6,1,1
1B,Burwood-Prize,trenches,1,24,1,0,1
1B,Burwood-Prize,trenches,1,24,2,1,1
1B,Burwood-Prize,trenches,1,24,3,1,1
1B,Burwood-Prize,trenches,1,24,4,1,1
1B,Burwood-Prize,trenches,1,24,5,1,1
1B,Burwood-Prize,trenches,1,24,6,1,1
1B,Burwood-Prize,trenches,1,25,1,0,1
1B,Burwood-Prize,trenches,1,25,2,0,1
1B,Burwood-Prize,trenches,1,25,3,0,1
1B,Burwood-Prize,trenches,1,25,4,0,1
1B,Burwood-Prize,trenches,1,25,5,1,1
1B,Burwood-Prize,trenches,1,25,6,1,1
1B,Burwood-Prize,trenches,1,26,1,0,1
1B,Burwood-Prize,trenches,1,26,2,0,1
1B,Burwood-Prize,trenches,1,26,3,0,1
1B,Burwood-Prize,trenches,1,26,4,1,1
1B,Burwood-Prize,trenches,1,26,5,1,1
1B,Burwood-Prize,trenches,1,26,6,1,1
1B,Burwood-Prize,trenches,1,27,1,0,1
1B,Burwood-Prize,trenches,1,27,2,1,1
1B,Burwood-Prize,trenches,1,27,3,1,1
1B,Burwood-Prize,trenches,1,27,4,1,1
1B,Burwood-Prize,trenches,1,27,5,1,1
1B,Burwood-Prize,trenches,1,27,6,1,1
