plot,variety,irrigation,x,y,t,i,n
1A,Burwood-Prize,overhead-sprays,1,18,4,0,1
1A,Burwood-Prize,overhead-sprays,1,18,5,0,1
1A,Burwood-Prize,overhead-sprays,1,18,6,0,1
1A,Burwood-Prize,overhead-sprays,1,19,1,0,1
1A,Burwood-Prize,overhead-sprays,1,19,2,0,1
1A,Burwood-Prize,overhead-sprays,1,19,3,1,1
1A,Burwood-Prize,overhead-sprays,1,19,4,1,1
1A,Burwood-Prize,overhead-sprays,1,19,5,1,1
1A,Burwood-Prize,overhead-sprays,1,19,6,1,1
1A,Burwood-Prize,overhead-sprays,1,20,1,0,1
1A,Burwood-Prize,overhead-sprays,1,20,2,0,1
1A,Burwood-Prize,overhead-sprays,1,20,3,1,1
1A,Burwood-Prize,overhead-sprays,1,20,4,1,1
1A,Burwood-Prize,overhead-sprays,1,20,5,1,1
1A,Burwood-Prize,overhead-sprays,1,20,6,1,1
1A,Burwood-Prize,overhead-sprays,1,21,1,0,1
1A,Burwood-Prize,overhead-sprays,1,21,2,0,1
1A,Burwood-Prize,overhead-sprays,1,21,3,0,1
1A,Burwood-Prize,overhead-sprays,1,21,4,0,1
1A,Burwood-Prize,overhead-sprays,1,21,5,0,1
1A,Burwood-Prize,overhead-sprays,1,21,6,1,1
1A,Burwood-Prize,overhead-sprays,1,22,1,1,1
1A,Burwood-Prize,overhead-sprays,1,22,2,1,1
1A,Burwood-Prize,overhead-sprays,1,22,3,1,1
1A,Burwood-Prize,overhead-sprays,1,22,4,1,1
1A,Burwood-Prize,overhead-sprays,1,22,5,1,1
1A,Burwood-Prize,overhead-sprays,1,22,6,1,1
1A,Burwood-Prize,overhead-sprays,1,23,1,0,1
1A,Burwood-Prize,overhead-sprays,1,23,2,0,1
1A,Burwood-Prize,overhead-sprays,1,23,3,0,1
1A,Burwood-Prize,overhead-sprays,1,23,4,1,1
1A,Burwood-Prize,overhead-sprays,1,23,5,1,1
1A,Burwood-Prize,overhead-sprays,1,23,6,1,1
1A,Burwood-Prize,overhead-sprays,1,24,1,0,1
1A,Burwood-Prize,overhead-sprays,1,24,2,0,1
1A,Burwood-Prize,overhead-sprays,1,24,3,0,1
1A,Burwood-Prize,overhead-sprays,1,24,4,0,1
1A,Burwood-Prize,overhead-sprays,1,24,5,0,1
1A,Burwood-Prize,overhead-sprays,1,24,6,0,1
1A,Burwood-Prize,overhead-sprays,1,25,1,0,1
1A,Burwood-Prize,overhead-sprays,1,25,2,0,1
1A,Burwood-Prize,overhead-sprays,1,25,3,0,1
1A,Burwood-Prize,overhead-sprays,1,25,4,1,1
