pattern,mu,x,y,r,n
clumped,4,11,3,2,100
clumped,4,12,3,5,100
clumped,4,1,4,11,100
clumped,4,2,4,8,100
clumped,4,3,4,19,100
clumped,4,4,4,31,100
clumped,4,5,4,51,100
clumped,4,6,4,74,100
clumped,4,7,4,65,100
clumped,4,8,4,47,100
clumped,4,9,4,12,100
clumped,4,10,4,7,100
clumped,4,11,4,7,100
clumped,4,12,4,5,100
clumped,4,1,5,9,100
clumped,4,2,5,36,100
clumped,4,3,5,27,100
clumped,4,4,5,53,100
clumped,4,5,5,85,100
clumped,4,6,5,98,100
clumped,4,7,5,85,100
clumped,4,8,5,73,100
clumped,4,9,5,36,100
clumped,4,10,5,12,100
clumped,4,11,5,9,100
clumped,4,12,5,2,100
clumped,4,1,6,15,100
clumped,4,2,6,27,100
clumped,4,3,6,35,100
clumped,4,4,6,62,100
clumped,4,5,6,82,100
clumped,4,6,6,99,100
clumped,4,7,6,99,100
clumped,4,8,6,84,100
clumped,4,9,6,45,100
clumped,4,10,6,11,100
clumped,4,11,6,8,100
clumped,4,12,6,0,100
clumped,4,1,7,10,100
clumped,4,2,7,17,100
clumped,4,3,7,18,100
clumped,4,4,7,72,100
clumped,4,5,7,92,100
clumped,4,6,7,99,100
clumped,4,7,7,100,100
clumped,4,8,7,78,100
clumped,4,9,7,42,100
clumped,4,10,7,12,100
clumped,4,11,7,7,100
clumped,4,12,7,3,100
clumped,4,1,8,8,100
clumped,4,2,8,5,100
clumped,4,3,8,38,100
clumped,4,4,8,65,100
clumped,4,5,8,97,100
clumped,4,6,8,91,100
clumped,4,7,8,64,100
clumped,4,8,8,56,100
clumped,4,9,8,34,100
clumped,4,10,8,16,100
clumped,4,11,8,14,100
clumped,4,12,8,1,100
clumped,4,1,9,10,100
clumped,4,2,9,7,100
clumped,4,3,9,23,100
clumped,4,4,9,62,100
clumped,4,5,9,78,100
clumped,4,6,9,60,100
clumped,4,7,9,52,100
clumped,4,8,9,38,100
clumped,4,9,9,24,100
clumped,4,10,9,6,100
clumped,4,11,9,6,100
clumped,4,12,9,1,100
clumped,4,1,10,12,100
clumped,4,2,10,7,100
clumped,4,3,10,11,100
clumped,4,4,10,32,100
clumped,4,5,10,52,100
clumped,4,6,10,41,100
clumped,4,7,10,22,100
clumped,4,8,10,19,100
clumped,4,9,10,20,100
clumped,4,10,10,7,100
clumped,4,11,10,9,100
clumped,4,12,10,4,100
clumped,4,1,11,2,100
clumped,4,2,11,8,100
clumped,4,3,11,8,100
clumped,4,4,11,18,100
clumped,4,5,11,15,100
clumped,4,6,11,37,100
clumped,4,7,11,21,100
clumped,4,8,11,14,100
clumped,4,9,11,5,100
clumped,4,10,11,3,100
clumped,4,11,11,4,100
clumped,4,12,11,2,100
clumped,4,1,12,2,100
clumped,4,2,12,7,100
clumped,4,3,12,3,100
clumped,4,4,12,16,100
clumped,4,5,12,20,100
clumped,4,6,12,25,100
clumped,4,7,12,16,100
clumped,4,8,12,6,100
clumped,4,9,12,14,100
clumped,4,10,12,0,100
clumped,4,11,12,0,100
clumped,4,12,12,1,100
random,0.25,1,1,2,100
random,0.25,2,1,2,100
random,0.25,3,1,0,100
random,0.25,4,1,3,100
random,0.25,5,1,1,100
random,0.25,6,1,1,100
random,0.25,7,1,1,100
random,0.25,8,1,5,100
random,0.25,9,1,22,100
random,0.25,10,1,13,100
random,0.25,11,1,14,100
random,0.25,12,1,6,100
random,0.25,1,2,2,100
random,0.25,2,2,0,100
random,0.25,3,2,0,100
random,0.25,4,2,3,100
random,0.25,5,2,0,100
random,0.25,6,2,2,100
random,0.25,7,2,7,100
random,0.25,8,2,54,100
random,0.25,9,2,57,100
random,0.25,10,2,49,100
random,0.25,11,2,42,100
random,0.25,12,2,2,100
random,0.25,1,3,3,100
random,0.25,2,3,1,100
random,0.25,3,3,0,100
random,0.25,4,3,1,100
random,0.25,5,3,0,100
random,0.25,6,3,9,100
random,0.25,7,3,6,100
random,0.25,8,3,62,100
