x,y,t,r,n
4,8,2,0,1
4,9,1,0,1
4,9,2,0,1
4,10,1,0,1
4,10,2,0,1
4,11,1,0,1
4,11,2,0,1
4,12,1,0,1
4,12,2,0,1
4,13,1,0,1
4,13,2,0,1
4,14,1,0,1
4,14,2,0,1
4,15,1,0,1
4,15,2,0,1
4,16,1,0,1
4,16,2,0,1
4,17,1,0,1
4,17,2,0,1
4,18,1,0,1
4,18,2,0,1
4,19,1,0,1
4,19,2,0,1
4,20,1,0,1
4,20,2,0,1
4,21,1,0,1
4,21,2,0,1
5,1,1,0,1
5,1,2,0,1
5,2,1,0,1
5,2,2,0,1
5,3,1,0,1
5,3,2,1,1
5,4,1,0,1
5,4,2,0,1
5,5,1,0,1
5,5,2,0,1
5,6,1,0,1
5,6,2,0,1
5,7,1,0,1
5,7,2,0,1
5,8,1,0,1
5,8,2,0,1
5,9,1,0,1
5,9,2,0,1
5,10,1,0,1
5,10,2,0,1
5,11,1,0,1
5,11,2,0,1
5,12,1,0,1
5,12,2,0,1
5,13,1,0,1
5,13,2,0,1
5,14,1,0,1
5,14,2,0,1
5,15,1,0,1
5,15,2,0,1
5,16,1,0,1
5,16,2,0,1
5,17,1,0,1
5,17,2,0,1
5,18,1,0,1
5,18,2,0,1
5,19,1,0,1
5,19,2,0,1
5,20,1,0,1
5,20,2,0,1
5,21,1,0,1
5,21,2,0,1
6,1,1,0,1
6,1,2,0,1
6,2,1,0,1
6,2,2,0,1
6,3,1,0,1
6,3,2,0,1
6,4,1,0,1
6,4,2,0,1
6,5,1,1,1
6,5,2,1,1
6,6,1,0,1
6,6,2,0,1
6,7,1,0,1
6,7,2,0,1
6,8,1,0,1
6,8,2,0,1
6,9,1,0,1
6,9,2,0,1
6,10,1,0,1
6,10,2,0,1
6,11,1,0,1
6,11,2,0,1
6,12,1,0,1
6,12,2,0,1
6,13,1,0,1
6,13,2,0,1
6,14,1,0,1
6,14,2,0,1
6,15,1,0,1
6,15,2,0,1
6,16,1,0,1
6,16,2,0,1
6,17,1,0,1
6,17,2,0,1
